etotapx4,etotapx*1000,bls_urbn,cutenure,educ_ref,inclass,marital1,region,vehq,fam_size,fincatax,fincatax*1000,age_ref,num_auto,renteqvx,inc_rank,no_earnr
4.88645,4886.45,1,1,14,4,3,2,1,1,16.199,16199,71,1,800,0.1806,0
8.09575,8095.75,1,1,13,6,5,1,1,1,30.312,30312,40,1,1250,0.4312,1
29.6385,29638.5,1,1,15,9,1,2,3,5,132.1,132100,47,3,1300,0.9051,5
15.0565,15056.5,1,1,16,9,1,4,2,2,134.4,134400,55,0,1200,0.9092,1
3.0775,3077.5,1,2,12,3,2,3,1,1,12,12000,63,1,500,0.1165,1
3.931,3931,1,2,15,5,5,1,0,1,28.5,28500,73,0,2500,0.331,1
46.349,46349,1,1,15,9,1,4,4,4,231.731,231731,41,1,2334,0.9742,2
5.6132,5613.2,1,2,12,5,2,2,1,1,26.399,26399,74,1,1569,0.3116,0
28.48375,28483.75,1,1,16,9,1,3,2,3,143.653,143653,29,1,1150,0.9264,2
9.75925,9759.25,1,1,12,8,1,3,5,3,52.904,52904,23,0,800,0.5823,2
12.9952,12995.2,1,1,17,7,3,1,1,1,44.165,44165,73,1,1500,0.5131,0
1.629,1629,1,2,10,4,3,4,1,1,16.724,16724,76,1,1775,0.1874,0
12.52145,12521.45,1,1,15,8,1,3,3,3,62.399,62399,31,2,1200,0.634,1
18.4215,18421.5,1,1,15,8,1,2,2,4,53.808,53808,32,1,1800,0.594,1
4.5912,4591.2,1,1,12,3,4,1,0,1,13.127,13127,67,0,1391,0.1372,0
17.5294,17529.4,1,2,16,9,1,1,2,2,85.806,85806,79,0,1393,0.7461,0
7.4406,7440.6,1,1,12,5,3,3,1,1,22,22000,51,0,1000,0.2798,1
19.330565,19330.565,1,1,17,9,1,1,2,2,356.504,356504,51,2,1800,0.987,2
6.0532,6053.2,1,1,12,5,2,1,1,1,20.399,20399,66,1,904,0.2367,0
13.7223,13722.3,1,1,12,8,1,4,4,3,47.667,47667,39,1,1200,0.5874,1
8.3434,8343.4,1,1,14,6,1,3,1,2,31.582,31582,65,1,600,0.3648,0
7.8724,7872.4,1,1,13,8,1,3,2,2,56.338,56338,66,1,1152,0.6068,0
11.67135,11671.35,1,1,12,7,1,2,3,5,11.318,11318,74,2,1000,0.081,1
27.530564,27530.564,1,1,16,9,1,4,1,3,212.853,212853,33,1,2000,0.978,2
2.7932,2793.2,1,2,11,5,2,1,1,2,17.626,17626,77,0,900,0.2152,0
11.4287,11428.7,1,1,12,6,1,2,8,4,44.86,44860,48,1,600,0.5416,1
12.70745,12707.45,1,2,16,5,2,3,2,1,19.587,19587,75,0,2172,0.2382,0
11.14275,11142.75,2,1,13,7,3,3,0,3,42.891,42891,47,0,1200,0.4857,2
22.69975,22699.75,1,1,13,8,3,3,1,1,60.25,60250,58,1,800,0.6666,1
5.69795,5697.95,1,2,15,3,2,1,1,1,14.171,14171,79,1,1000,0.1504,0
50.391314,50391.314,1,1,17,9,5,1,3,2,263.993,263993,32,3,2500,0.985,2
12.494,12494,1,2,13,5,3,3,4,1,24,24000,53,1,1643,0.2799,1
18.001,18001,1,2,12,9,1,1,3,4,113.4,113400,43,2,1200,0.871,3
11.8847,11884.7,1,1,13,7,5,1,0,2,25.199,25199,48,0,2000,0.2996,1
17.44,17440,1,1,15,9,1,1,2,4,186.881,186881,43,2,2500,0.9624,2
4.9187,4918.7,1,2,12,5,2,1,1,1,27.976,27976,87,1,150,0.325,0
3.8075,3807.5,1,2,12,5,4,3,2,2,21.5,21500,62,0,2000,0.233,1
15.94175,15941.75,1,1,12,9,1,2,3,2,90.13,90130,58,1,2000,0.8032,1
3.15975,3159.75,1,2,11,3,1,3,2,3,13.484,13484,25,1,500,0.1462,1
30.023014,30023.014,1,1,16,9,1,3,3,3,230.53,230530,60,2,1500,0.9781,2
25.781,25781,1,1,15,9,1,1,2,4,143.1,143100,34,0,2500,0.9213,2
24.542,24542,1,1,13,9,1,3,3,5,101.355,101355,51,2,1800,0.8529,1
26.4974,26497.4,1,1,16,9,1,3,5,3,112.278,112278,64,2,2200,0.8887,2
16.0812,16081.2,1,2,10,9,2,4,1,1,72.726,72726,87,1,800,0.7253,0
7.7717,7771.7,1,2,12,5,5,4,4,4,9,9000,25,2,750,0.0796,3
8.055,8055,1,1,12,5,5,3,1,1,28,28000,26,0,1500,0.3256,1
6.7192,6719.2,1,1,11,5,1,3,1,3,25,25000,33,0,700,0.2971,2
16.251314,16251.314,1,1,12,8,1,2,0,2,70,70000,52,0,1500,0.6636,1
10.47225,10472.25,1,1,12,8,3,3,0,2,68.125,68125,60,0,450,0.6667,2
5.2832,5283.2,1,2,14,3,2,4,1,1,13.131,13131,82,1,1277,0.1375,0
7.93925,7939.25,1,1,16,2,1,3,2,3,4.808,4808,59,0,1100,0.043,0
10.000515,10000.515,1,2,14,8,3,4,2,3,42.865,42865,54,2,1175,0.4948,2
3.4675,3467.5,1,1,11,5,2,3,0,1,16.667,16667,60,0,500,0.2315,1
15.947,15947,1,1,13,9,3,1,1,1,152.4,152400,57,1,1500,0.9261,1
55.322315,55322.315,1,1,17,9,1,2,2,5,347.304,347304,50,1,1957,0.974,2
